Writer;Pages;Rating;Rating_Count;Review_Count;Title;Genre
Suzanne Collins;374 pages;4.33;5519135;160706;The Hunger Games;Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction
J.K. Rowling;870 pages;4.48;2041594;33264;Harry Potter and the Order of the Phoenix;Fantasy|Young Adult|Fiction
Harper Lee;324 pages;4.27;3745197;79450;To Kill a Mockingbird;Classics|Fiction|Historical|Historical Fiction|Academic|School
Jane Austen;279 pages;4.25;2453620;54322;Pride and Prejudice;Classics|Fiction|Romance
Stephenie Meyer;498 pages;3.58;4281268;97991;Twilight;Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction|Fantasy|Paranormal
Markus Zusak;552 pages;4.36;1485632;100821;The Book Thief;Historical|Historical Fiction|Fiction|Young Adult
C.S. Lewis;767 pages;4.25;437829;9439;The Chronicles of Narnia;Fantasy|Classics|Fiction|Young Adult|Childrens
George Orwell;122 pages;3.9;2235084;42156;Animal Farm;Classics|Fiction|Science Fiction|Dystopia|Fantasy|Literature|Academic|School|Politics|Science Fiction|Novels|Academic|Read For School
Margaret Mitchell;1037 pages;4.29;969181;17452;Gone with the Wind;Classics|Historical|Historical Fiction|Fiction|Romance|Historical
John Green;313 pages;4.24;2881648;147270;The Fault in Our Stars;Young Adult|Fiction|Romance|Contemporary
Douglas Adams;193 pages;4.21;1155911;23919;The Hitchhiker's Guide to the Galaxy;Science Fiction|Fiction|Humor|Fantasy|Classics
Shel Silverstein;64 pages;4.37;789681;15694;The Giving Tree;Childrens|Childrens|Picture Books|Classics|Fiction
Emily Brontë;464 pages;3.84;1121100;29400;Wuthering Heights;Classics|Fiction|Romance|Literature
Dan Brown;481 pages;3.81;1668594;43699;The Da Vinci Code;Fiction|Mystery|Thriller
Arthur Golden;434 pages;4.09;1525851;27168;Memoirs of a Geisha;Fiction|Historical|Historical Fiction|Romance|Historical
Lewis Carroll;239 pages;4.07;411153;9166;Alice's Adventures in Wonderland & Through the Looking-Glass;Classics|Fantasy|Fiction|Childrens
Oscar Wilde;367 pages;4.06;775701;22938;The Picture of Dorian Gray;Fiction|Classics|Horror|Fantasy|Literature|Gothic|Novels|Literature|19th Century|Classics|Classic Literature|European Literature|British Literature
Victor Hugo;1463 pages;4.15;591874;13063;Les Misérables;Classics|Fiction|Historical|Historical Fiction|Literature
Veronica Roth;487 pages;4.22;2493519;104329;Divergent;Young Adult|Science Fiction|Dystopia|Fiction|Fantasy
Charlotte Brontë|Michael Mason;507 pages;4.11;1381404;34670;Jane Eyre;Classics|Fiction|Romance|Historical|Historical Fiction|Literature|Gothic|Historical|Literature|19th Century|Classics|Classic Literature|Academic|School
William Shakespeare;283 pages;3.74;1818262;16442;Romeo and Juliet;Classics|Plays|Fiction|Romance|Academic|School|Drama|Academic|Read For School|Literature|Young Adult|High School|Poetry
William Golding;182 pages;3.66;1840595;30634;Lord of the Flies;Classics|Fiction|Young Adult|Academic|School|Literature
Paulo Coelho;197 pages;3.84;1644387;63861;The Alchemist;Fiction|Classics|Fantasy|Philosophy|Novels|Spirituality|Literature|Inspirational|Adventure|Self Help
Fyodor Dostoyevsky;671 pages;4.2;507522;14496;Crime and Punishment;Classics|Fiction|Cultural|Russia|Literature|Literature|Russian Literature
Orson Scott Card;324 pages;4.3;965351;40289;Ender's Game;Science Fiction|Fiction|Young Adult|Fantasy
Stephen Chbosky;213 pages;4.2;1063711;50846;The Perks of Being a Wallflower;Young Adult|Fiction|Contemporary
Cassandra Clare;485 pages;4.11;1383479;55446;City of Bones;Fantasy|Young Adult|Fantasy|Paranormal|Romance
Kathryn Stockett;465 pages;4.46;1790905;80741;The Help;Fiction|Historical|Historical Fiction|Historical|Adult
F. Scott Fitzgerald;180 pages;3.9;3141842;56953;The Great Gatsby;Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction|Romance|Novels|Academic|Read For School|Young Adult|High School|Literature|American
Audrey Niffenegger;500 pages;3.96;1408080;45153;The Time Traveler's Wife;Fiction|Romance|Fantasy|Science Fiction|Time Travel|Science Fiction
E.B. White;184 pages;4.16;1199733;14938;Charlotte's Web;Classics|Childrens|Fiction
L.M. Montgomery;320 pages;4.24;599365;16797;Anne of Green Gables;Classics|Fiction|Young Adult|Childrens|Historical|Historical Fiction|Historical|Cultural|Canada|Childrens|Middle Grade|Audiobook|Young Adult|Coming Of Age
John Steinbeck;112 pages;3.85;1662561;27999;Of Mice and Men;Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction
Bram Stoker;488 pages;3.98;775448;19726;Dracula;Classics|Horror|Fiction|Fantasy|Paranormal|Vampires
Aldous Huxley;288 pages;3.98;1203529;23422;Brave New World;Classics|Fiction|Science Fiction|Science Fiction|Dystopia|Literature|Novels|Academic|School|Fantasy|Science Fiction Fantasy|Philosophy
Gabriel García Márquez;417 pages;4.05;630758;24375;One Hundred Years of Solitude;Fiction|Classics|Magical Realism|Literature
Antoine de Saint-Exupéry;93 pages;4.29;1022243;29424;The Little Prince;Classics|Fiction|Fantasy|Childrens
William Goldman;398 pages;4.26;685278;17221;The Princess Bride;Fantasy|Fiction|Classics|Romance|Humor|Young Adult
Frances Hodgson Burnett;331 pages;4.12;763910;14897;The Secret Garden;Classics|Fiction|Childrens|Young Adult|Historical|Historical Fiction|Childrens|Middle Grade|Literature|Fantasy|Historical|Novels
J.D. Salinger;277 pages;3.8;2343013;49509;The Catcher in the Rye;Classics|Fiction|Young Adult|Literature
Khaled Hosseini;372 pages;4.35;961180;47035;A Thousand Splendid Suns;Fiction|Historical|Historical Fiction
Madeleine L'Engle;211 pages;4.02;806439;29701;A Wrinkle in Time;Fantasy|Young Adult|Fiction|Classics|Science Fiction|Childrens
Ray Bradbury;175 pages;3.98;1321751;36934;Fahrenheit 451;Classics|Fiction|Science Fiction|Science Fiction|Dystopia
George R.R. Martin;848 pages;4.45;1657040;49398;A Game of Thrones;Fantasy|Fiction|Fantasy|Epic Fantasy
Rick Riordan;375 pages;4.24;1623502;50794;The Lightning Thief;Fantasy|Young Adult|Fantasy|Mythology|Fiction
Mark Twain|Guy Cardwell;327 pages;3.81;1060707;13585;The Adventures of Huckleberry Finn;Classics|Fiction|Historical|Historical Fiction|Literature|Young Adult
Alice Sebold;328 pages;3.79;1786839;38270;The Lovely Bones;Fiction|Mystery|Young Adult|Contemporary
Maurice Sendak;37 pages;4.22;707526;10364;Where the Wild Things Are;Childrens|Childrens|Picture Books|Fiction|Classics
Dr. Seuss;62 pages;4.3;519703;8147;Green Eggs and Ham;Childrens|Childrens|Picture Books|Classics|Fiction
J.K. Rowling;320 pages;4.46;5588580;88816;Harry Potter and the Sorcerer's Stone;Fantasy|Young Adult|Fiction
Yann Martel;460 pages;3.89;1149762;44771;Life of Pi;Fiction|Fantasy|Classics|Adventure
Charles Dickens;489 pages;3.82;725258;14580;A Tale of Two Cities;Classics|Fiction|Historical|Historical Fiction|Literature
S.E. Hinton;192 pages;4.08;765065;26991;The Outsiders;Classics|Young Adult|Fiction|Academic|School
Sara Gruen;335 pages;4.08;1199696;57161;Water for Elephants;Fiction|Historical|Historical Fiction|Romance|Historical
Homer;541 pages;3.74;766893;9519;The Odyssey;Classics|Fiction|Poetry|Fantasy|Mythology|Fantasy|Academic|School|Literature|Adventure|Academic|Read For School|Historical|Historical Fiction
Vladimir Nabokov;417 pages;3.89;565155;20390;Lolita;Classics|Fiction|Literature
Kurt Vonnegut;275 pages;4.07;977825;22329;Slaughterhouse-Five;Classics|Fiction|Science Fiction|War
Joseph Heller;453 pages;3.98;639139;15255;Catch-22;Classics|Fiction|War|Historical|Historical Fiction|Humor
Mary Wollstonecraft Shelley;273 pages;3.77;973406;23951;Frankenstein;Classics|Fiction|Horror|Science Fiction|Gothic|Fantasy|Literature|Academic|School|Novels|Literature|19th Century
Khaled Hosseini;371 pages;4.27;2077166;64615;The Kite Runner;Fiction|Historical|Historical Fiction|Contemporary
Ken Follett;973 pages;4.3;552602;28164;The Pillars of the Earth;Historical|Historical Fiction|Fiction|Historical
