t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280471,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280475,1680,184.529023,0.000000,0.000000,0.000000,events/second
1572280477,5964,497.313399,0.000000,0.000000,0.000000,events/second
1572280480,5964,397.641619,0.000000,0.000000,0.000000,events/second
1572280483,5964,331.359566,0.000000,0.000000,0.000000,events/second
1572280486,5964,284.159632,0.000000,0.000000,0.000000,events/second
1572280489,5964,248.595602,0.000000,0.000000,0.000000,events/second
1572280492,5964,220.868207,0.000000,0.000000,0.000000,events/second
1572280495,6671,222.473455,0.000000,0.000000,0.000000,events/second
1572280498,6671,202.083728,0.000000,0.000000,0.000000,events/second
1572280501,6671,185.344112,0.000000,0.000000,0.000000,events/second
1572280504,6671,171.146224,0.000000,0.000000,0.000000,events/second
1572280507,6671,158.860710,0.000000,0.000000,0.000000,events/second
1572280510,6671,148.271119,0.000000,0.000000,0.000000,events/second
1572280513,7141,148.794816,0.000000,0.000000,0.000000,events/second
1572280516,7141,140.051806,0.000000,0.000000,0.000000,events/second
1572280519,7141,132.267052,0.000000,0.000000,0.000000,events/second
1572280522,7141,125.302138,0.000000,0.000000,0.000000,events/second
1572280525,7141,119.034985,0.000000,0.000000,0.000000,events/second
1572280528,7141,113.367740,0.000000,0.000000,0.000000,events/second
1572280531,7141,108.204478,0.000000,0.000000,0.000000,events/second
1572280534,7433,107.732526,0.000000,0.000000,0.000000,events/second
1572280537,7433,103.248816,0.000000,0.000000,0.000000,events/second
1572280540,7433,99.116966,0.000000,0.000000,0.000000,events/second
1572280543,7433,95.306284,0.000000,0.000000,0.000000,events/second
1572280546,7433,91.780696,0.000000,0.000000,0.000000,events/second
1572280549,7433,88.504367,0.000000,0.000000,0.000000,events/second
1572280552,7518,86.424598,0.000000,0.000000,0.000000,events/second
1572280555,7797,86.639266,0.000000,0.000000,0.000000,events/second
1572280558,7797,83.834478,0.000000,0.000000,0.000000,events/second
1572280561,7797,81.236233,0.000000,0.000000,0.000000,events/second
1572280564,7797,78.765898,0.000000,0.000000,0.000000,events/second
1572280567,7857,77.036239,0.000000,0.000000,0.000000,events/second
1572280570,7864,74.904720,0.000000,0.000000,0.000000,events/second
