t,value
1572280468,0
1572280471,0
1572280475,2
1572280477,6
1572280480,6
1572280483,6
1572280486,6
1572280489,6
1572280492,6
1572280495,6
1572280498,6
1572280501,6
1572280504,6
1572280507,6
1572280510,6
1572280513,6
1572280516,6
1572280519,6
1572280522,6
1572280525,6
1572280528,6
1572280531,6
1572280534,6
1572280537,6
1572280540,6
1572280543,6
1572280546,6
1572280549,6
1572280552,6
1572280555,6
1572280558,6
1572280561,6
1572280564,6
1572280567,6
1572280570,6
1572280573,6
1572280576,6
1572280579,6
1572280582,6
1572280585,6
1572280588,6
1572280591,6
1572280594,6
1572280597,6
1572280600,6
1572280603,6
1572280606,6
1572280609,6
1572280612,6
1572280615,6
1572280618,6
1572280621,6
1572280624,6
1572280627,6
1572280630,6
1572280633,6
1572280636,6
1572280639,6
1572280642,6
1572280645,6
1572280648,6
1572280651,6
1572280654,6
1572280657,6
1572280660,6
1572280663,6
1572280666,6
1572280669,6
1572280672,6
1572280675,6
1572280678,6
1572280681,6
1572280684,6
1572280687,6
1572280690,6
1572280693,6
1572280696,6
1572280699,6
1572280702,6
1572280705,6
1572280708,6
1572280711,6
1572280714,6
1572280717,6
1572280720,6
1572280723,6
1572280726,6
1572280729,6
1572280732,6
1572280735,6
1572280738,6
1572280741,6
1572280744,6
1572280747,6
1572280750,6
1572280753,6
1572280756,6
1572280759,6
1572280762,6
1572280765,6
1572280768,6
1572280771,6
1572280774,6
1572280777,6
1572280780,6
1572280783,6
1572280786,6
1572280789,6
1572280792,6
1572280795,6
1572280798,6
1572280801,6
1572280804,6
1572280807,6
1572280810,6
1572280813,6
1572280816,6
1572280819,6
1572280822,6
1572280825,6
1572280828,6
1572280831,6
1572280834,6
1572280837,6
1572280840,6
1572280843,6
1572280846,6
1572280849,6
1572280852,6
1572280855,6
1572280858,6
1572280861,6
1572280864,6
1572280867,6
1572280870,6
1572280873,6
1572280876,6
1572280879,6
1572280882,6
1572280885,6
1572280888,6
1572280891,6
1572280894,6
1572280897,6
1572280900,6
1572280903,6
1572280906,6
1572280909,6
1572280912,6
1572280915,6
1572280918,6
1572280921,6
1572280924,6
1572280927,6
1572280930,6
1572280933,6
1572280936,6
1572280939,6
1572280942,6
1572280945,6
1572280948,6
1572280951,6
1572280954,6
1572280957,6
1572280960,6
1572280963,6
1572280966,6
1572280969,6
1572280972,6
1572280975,6
1572280978,6
1572280981,6
1572280984,6
1572280987,6
1572280990,6
1572280993,6
1572280996,6
1572280999,6
1572281002,6
1572281005,6
1572281008,6
1572281011,6
1572281014,6
1572281017,6
1572281020,6
1572281023,6
1572281026,6
1572281029,6
1572281032,6
1572281035,6
1572281038,6
1572281041,6
1572281044,6
1572281047,6
1572281050,6
1572281053,6
1572281056,6
1572281059,6
1572281062,6
1572281065,6
1572281068,6
1572281071,6
1572281074,6
1572281077,6
1572281080,6
1572281083,6
1572281086,6
1572281089,6
1572281092,6
1572281095,6
1572281098,6
1572281101,6
1572281104,6
1572281107,6
1572281110,6
1572281113,6
1572281116,6
1572281119,6
1572281122,6
1572281125,6
1572281128,6
1572281131,6
1572281134,6
1572281137,6
1572281140,6
1572281143,6
1572281146,6
1572281149,6
1572281152,6
1572281155,6
1572281158,6
1572281161,6
1572281164,6
1572281167,6
1572281170,6
