t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280471,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280475,41,4.501978,0.000000,0.000000,0.000000,events/second
1572280477,67,5.584179,0.000000,0.000000,0.000000,events/second
1572280480,67,4.465551,0.000000,0.000000,0.000000,events/second
1572280483,67,3.721223,0.000000,0.000000,0.000000,events/second
1572280486,67,3.191618,0.000000,0.000000,0.000000,events/second
1572280489,67,2.791659,0.000000,0.000000,0.000000,events/second
1572280492,67,2.480756,0.000000,0.000000,0.000000,events/second
1572280495,93,3.100921,0.000000,0.000000,0.000000,events/second
1572280498,93,2.816713,0.000000,0.000000,0.000000,events/second
1572280501,93,2.583535,0.000000,0.000000,0.000000,events/second
1572280504,93,2.385711,0.000000,0.000000,0.000000,events/second
1572280507,93,2.214408,0.000000,0.000000,0.000000,events/second
1572280510,93,2.066828,0.000000,0.000000,0.000000,events/second
1572280513,119,2.479423,0.000000,0.000000,0.000000,events/second
1572280516,119,2.333725,0.000000,0.000000,0.000000,events/second
1572280519,119,2.204015,0.000000,0.000000,0.000000,events/second
1572280522,119,2.087906,0.000000,0.000000,0.000000,events/second
1572280525,119,1.983488,0.000000,0.000000,0.000000,events/second
1572280528,119,1.889112,0.000000,0.000000,0.000000,events/second
1572280531,119,1.803040,0.000000,0.000000,0.000000,events/second
1572280534,145,2.101465,0.000000,0.000000,0.000000,events/second
1572280537,145,2.014002,0.000000,0.000000,0.000000,events/second
1572280540,145,1.933453,0.000000,0.000000,0.000000,events/second
1572280543,145,1.859086,0.000000,0.000000,0.000000,events/second
1572280546,145,1.790346,0.000000,0.000000,0.000000,events/second
1572280549,145,1.726409,0.000000,0.000000,0.000000,events/second
1572280552,157,1.804727,0.000000,0.000000,0.000000,events/second
1572280555,191,2.122295,0.000000,0.000000,0.000000,events/second
1572280558,191,2.053508,0.000000,0.000000,0.000000,events/second
1572280561,191,1.989894,0.000000,0.000000,0.000000,events/second
1572280564,191,1.929436,0.000000,0.000000,0.000000,events/second
1572280567,199,1.951051,0.000000,0.000000,0.000000,events/second
1572280570,203,1.933531,0.000000,0.000000,0.000000,events/second
1572280573,229,2.121040,0.000000,0.000000,0.000000,events/second
