t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280471,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280475,51,5.599028,0.000000,0.000000,0.000000,events/second
1572280477,69,5.749972,0.000000,0.000000,0.000000,events/second
1572280480,69,4.598165,0.000000,0.000000,0.000000,events/second
1572280483,69,3.831620,0.000000,0.000000,0.000000,events/second
1572280486,69,3.286578,0.000000,0.000000,0.000000,events/second
1572280489,69,2.874577,0.000000,0.000000,0.000000,events/second
1572280492,69,2.554289,0.000000,0.000000,0.000000,events/second
1572280495,95,3.167372,0.000000,0.000000,0.000000,events/second
1572280498,95,2.877073,0.000000,0.000000,0.000000,events/second
1572280501,95,2.638901,0.000000,0.000000,0.000000,events/second
1572280504,95,2.436885,0.000000,0.000000,0.000000,events/second
1572280507,95,2.261893,0.000000,0.000000,0.000000,events/second
1572280510,95,2.111164,0.000000,0.000000,0.000000,events/second
1572280513,121,2.521015,0.000000,0.000000,0.000000,events/second
1572280516,121,2.372840,0.000000,0.000000,0.000000,events/second
1572280519,121,2.240986,0.000000,0.000000,0.000000,events/second
1572280522,121,2.122899,0.000000,0.000000,0.000000,events/second
1572280525,121,2.016742,0.000000,0.000000,0.000000,events/second
1572280528,121,1.920814,0.000000,0.000000,0.000000,events/second
1572280531,121,1.833259,0.000000,0.000000,0.000000,events/second
1572280534,147,2.130316,0.000000,0.000000,0.000000,events/second
1572280537,147,2.041701,0.000000,0.000000,0.000000,events/second
1572280540,147,1.960076,0.000000,0.000000,0.000000,events/second
1572280543,147,1.884670,0.000000,0.000000,0.000000,events/second
1572280546,147,1.815005,0.000000,0.000000,0.000000,events/second
1572280549,147,1.750171,0.000000,0.000000,0.000000,events/second
1572280552,159,1.827666,0.000000,0.000000,0.000000,events/second
1572280555,193,2.144460,0.000000,0.000000,0.000000,events/second
1572280558,193,2.074949,0.000000,0.000000,0.000000,events/second
1572280561,193,2.010683,0.000000,0.000000,0.000000,events/second
1572280564,193,1.949605,0.000000,0.000000,0.000000,events/second
1572280567,201,1.970614,0.000000,0.000000,0.000000,events/second
1572280570,205,1.952552,0.000000,0.000000,0.000000,events/second
1572280573,231,2.139538,0.000000,0.000000,0.000000,events/second
