t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280471,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280475,45,4.940115,0.000000,0.000000,0.000000,events/second
1572280477,67,5.583168,0.000000,0.000000,0.000000,events/second
1572280480,67,4.464715,0.000000,0.000000,0.000000,events/second
1572280483,67,3.719782,0.000000,0.000000,0.000000,events/second
1572280486,67,3.191244,0.000000,0.000000,0.000000,events/second
1572280489,67,2.791108,0.000000,0.000000,0.000000,events/second
1572280492,67,2.480160,0.000000,0.000000,0.000000,events/second
1572280495,93,3.098918,0.000000,0.000000,0.000000,events/second
1572280498,93,2.816308,0.000000,0.000000,0.000000,events/second
1572280501,93,2.583293,0.000000,0.000000,0.000000,events/second
1572280504,93,2.385548,0.000000,0.000000,0.000000,events/second
1572280507,93,2.214236,0.000000,0.000000,0.000000,events/second
1572280510,93,2.066683,0.000000,0.000000,0.000000,events/second
1572280513,119,2.479333,0.000000,0.000000,0.000000,events/second
1572280516,119,2.333593,0.000000,0.000000,0.000000,events/second
1572280519,119,2.203931,0.000000,0.000000,0.000000,events/second
1572280522,119,2.087784,0.000000,0.000000,0.000000,events/second
1572280525,119,1.983384,0.000000,0.000000,0.000000,events/second
1572280528,119,1.889056,0.000000,0.000000,0.000000,events/second
1572280531,119,1.802933,0.000000,0.000000,0.000000,events/second
1572280534,145,2.101307,0.000000,0.000000,0.000000,events/second
1572280537,145,2.013903,0.000000,0.000000,0.000000,events/second
1572280540,145,1.933399,0.000000,0.000000,0.000000,events/second
1572280543,145,1.859011,0.000000,0.000000,0.000000,events/second
1572280546,145,1.790305,0.000000,0.000000,0.000000,events/second
1572280549,145,1.726345,0.000000,0.000000,0.000000,events/second
1572280552,157,1.804623,0.000000,0.000000,0.000000,events/second
1572280555,191,2.122225,0.000000,0.000000,0.000000,events/second
1572280558,191,2.053355,0.000000,0.000000,0.000000,events/second
1572280561,191,1.989835,0.000000,0.000000,0.000000,events/second
1572280564,191,1.929395,0.000000,0.000000,0.000000,events/second
1572280567,199,1.950979,0.000000,0.000000,0.000000,events/second
1572280570,203,1.933498,0.000000,0.000000,0.000000,events/second
1572280573,229,2.121008,0.000000,0.000000,0.000000,events/second
