t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280471,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280475,8,0.878029,0.000000,0.000000,0.000000,events/second
1572280477,8,0.666518,0.000000,0.000000,0.000000,events/second
1572280480,8,0.533015,0.000000,0.000000,0.000000,events/second
1572280483,8,0.444081,0.000000,0.000000,0.000000,events/second
1572280486,8,0.381000,0.000000,0.000000,0.000000,events/second
1572280489,8,0.333210,0.000000,0.000000,0.000000,events/second
1572280492,8,0.296108,0.000000,0.000000,0.000000,events/second
1572280495,8,0.266544,0.000000,0.000000,0.000000,events/second
1572280498,8,0.242221,0.000000,0.000000,0.000000,events/second
1572280501,8,0.222202,0.000000,0.000000,0.000000,events/second
1572280504,8,0.205196,0.000000,0.000000,0.000000,events/second
1572280507,8,0.190460,0.000000,0.000000,0.000000,events/second
1572280510,8,0.177768,0.000000,0.000000,0.000000,events/second
1572280513,8,0.166670,0.000000,0.000000,0.000000,events/second
1572280516,8,0.156873,0.000000,0.000000,0.000000,events/second
1572280519,8,0.148157,0.000000,0.000000,0.000000,events/second
1572280522,8,0.140349,0.000000,0.000000,0.000000,events/second
1572280525,8,0.133331,0.000000,0.000000,0.000000,events/second
1572280528,8,0.126991,0.000000,0.000000,0.000000,events/second
1572280531,8,0.121201,0.000000,0.000000,0.000000,events/second
1572280534,8,0.115929,0.000000,0.000000,0.000000,events/second
1572280537,8,0.111108,0.000000,0.000000,0.000000,events/second
1572280540,8,0.106667,0.000000,0.000000,0.000000,events/second
1572280543,8,0.102563,0.000000,0.000000,0.000000,events/second
1572280546,8,0.098773,0.000000,0.000000,0.000000,events/second
1572280549,8,0.095244,0.000000,0.000000,0.000000,events/second
1572280552,8,0.091952,0.000000,0.000000,0.000000,events/second
1572280555,8,0.088887,0.000000,0.000000,0.000000,events/second
1572280558,8,0.086002,0.000000,0.000000,0.000000,events/second
1572280561,8,0.083342,0.000000,0.000000,0.000000,events/second
1572280564,8,0.080811,0.000000,0.000000,0.000000,events/second
1572280567,8,0.078429,0.000000,0.000000,0.000000,events/second
1572280570,8,0.076196,0.000000,0.000000,0.000000,events/second
1572280573,8,0.074095,0.000000,0.000000,0.000000,events/second
