t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,32,10.268519,0.000000,0.000000,0.000000,events/second
1572280471,32,5.298895,0.000000,0.000000,0.000000,events/second
1572280475,32,3.501750,0.000000,0.000000,0.000000,events/second
1572280477,32,2.659719,0.000000,0.000000,0.000000,events/second
1572280480,32,2.127221,0.000000,0.000000,0.000000,events/second
1572280483,32,1.772505,0.000000,0.000000,0.000000,events/second
1572280486,32,1.521813,0.000000,0.000000,0.000000,events/second
1572280489,32,1.330215,0.000000,0.000000,0.000000,events/second
1572280492,32,1.183104,0.000000,0.000000,0.000000,events/second
1572280495,32,1.064946,0.000000,0.000000,0.000000,events/second
1572280498,32,0.967609,0.000000,0.000000,0.000000,events/second
1572280501,32,0.887563,0.000000,0.000000,0.000000,events/second
1572280504,32,0.820215,0.000000,0.000000,0.000000,events/second
1572280507,32,0.761185,0.000000,0.000000,0.000000,events/second
1572280510,32,0.710421,0.000000,0.000000,0.000000,events/second
1572280513,32,0.666294,0.000000,0.000000,0.000000,events/second
1572280516,32,0.627108,0.000000,0.000000,0.000000,events/second
1572280519,32,0.592284,0.000000,0.000000,0.000000,events/second
1572280522,32,0.561009,0.000000,0.000000,0.000000,events/second
1572280525,38,0.632870,0.000000,0.000000,0.000000,events/second
1572280528,38,0.602935,0.000000,0.000000,0.000000,events/second
1572280531,38,0.575419,0.000000,0.000000,0.000000,events/second
1572280534,38,0.550271,0.000000,0.000000,0.000000,events/second
1572280537,38,0.527503,0.000000,0.000000,0.000000,events/second
1572280540,38,0.506468,0.000000,0.000000,0.000000,events/second
1572280543,38,0.486949,0.000000,0.000000,0.000000,events/second
1572280546,38,0.469007,0.000000,0.000000,0.000000,events/second
1572280549,38,0.452201,0.000000,0.000000,0.000000,events/second
1572280552,38,0.436570,0.000000,0.000000,0.000000,events/second
1572280555,38,0.422070,0.000000,0.000000,0.000000,events/second
1572280558,38,0.408356,0.000000,0.000000,0.000000,events/second
1572280561,38,0.395747,0.000000,0.000000,0.000000,events/second
1572280564,38,0.383736,0.000000,0.000000,0.000000,events/second
1572280567,38,0.372411,0.000000,0.000000,0.000000,events/second
1572280570,38,0.361828,0.000000,0.000000,0.000000,events/second
1572280573,38,0.351862,0.000000,0.000000,0.000000,events/second
1572280576,38,0.342198,0.000000,0.000000,0.000000,events/second
1572280579,38,0.333208,0.000000,0.000000,0.000000,events/second
1572280582,38,0.324627,0.000000,0.000000,0.000000,events/second
1572280585,44,0.366606,0.000000,0.000000,0.000000,events/second
1572280588,44,0.357617,0.000000,0.000000,0.000000,events/second
1572280591,44,0.349114,0.000000,0.000000,0.000000,events/second
1572280594,44,0.340969,0.000000,0.000000,0.000000,events/second
1572280597,44,0.333306,0.000000,0.000000,0.000000,events/second
1572280600,44,0.325821,0.000000,0.000000,0.000000,events/second
1572280603,44,0.318760,0.000000,0.000000,0.000000,events/second
1572280606,44,0.311977,0.000000,0.000000,0.000000,events/second
1572280609,44,0.305436,0.000000,0.000000,0.000000,events/second
1572280612,44,0.299327,0.000000,0.000000,0.000000,events/second
1572280615,44,0.293258,0.000000,0.000000,0.000000,events/second
1572280618,44,0.287509,0.000000,0.000000,0.000000,events/second
1572280621,44,0.281986,0.000000,0.000000,0.000000,events/second
1572280624,44,0.276641,0.000000,0.000000,0.000000,events/second
1572280627,44,0.271549,0.000000,0.000000,0.000000,events/second
1572280630,44,0.266616,0.000000,0.000000,0.000000,events/second
1572280633,44,0.261856,0.000000,0.000000,0.000000,events/second
1572280636,44,0.257265,0.000000,0.000000,0.000000,events/second
1572280639,44,0.252811,0.000000,0.000000,0.000000,events/second
1572280642,44,0.248546,0.000000,0.000000,0.000000,events/second
1572280645,50,0.277748,0.000000,0.000000,0.000000,events/second
1572280648,50,0.273235,0.000000,0.000000,0.000000,events/second
1572280651,50,0.268686,0.000000,0.000000,0.000000,events/second
