t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,52,16.654596,0.000000,0.000000,0.000000,events/second
1572280471,52,8.558613,0.000000,0.000000,0.000000,events/second
1572280475,52,5.689544,0.000000,0.000000,0.000000,events/second
1572280477,52,4.320191,0.000000,0.000000,0.000000,events/second
1572280480,52,3.455843,0.000000,0.000000,0.000000,events/second
1572280483,52,2.877718,0.000000,0.000000,0.000000,events/second
1572280486,52,2.472542,0.000000,0.000000,0.000000,events/second
1572280489,52,2.161353,0.000000,0.000000,0.000000,events/second
1572280492,52,1.922407,0.000000,0.000000,0.000000,events/second
1572280495,52,1.730288,0.000000,0.000000,0.000000,events/second
1572280498,52,1.572177,0.000000,0.000000,0.000000,events/second
1572280501,52,1.442137,0.000000,0.000000,0.000000,events/second
1572280504,52,1.332802,0.000000,0.000000,0.000000,events/second
1572280507,52,1.236792,0.000000,0.000000,0.000000,events/second
1572280510,52,1.154348,0.000000,0.000000,0.000000,events/second
1572280513,52,1.082691,0.000000,0.000000,0.000000,events/second
1572280516,52,1.019015,0.000000,0.000000,0.000000,events/second
1572280519,52,0.962422,0.000000,0.000000,0.000000,events/second
1572280522,52,0.911545,0.000000,0.000000,0.000000,events/second
1572280525,58,0.965881,0.000000,0.000000,0.000000,events/second
1572280528,58,0.920228,0.000000,0.000000,0.000000,events/second
1572280531,58,0.878215,0.000000,0.000000,0.000000,events/second
1572280534,58,0.839822,0.000000,0.000000,0.000000,events/second
1572280537,58,0.805102,0.000000,0.000000,0.000000,events/second
1572280540,58,0.772991,0.000000,0.000000,0.000000,events/second
1572280543,58,0.743209,0.000000,0.000000,0.000000,events/second
1572280546,58,0.715829,0.000000,0.000000,0.000000,events/second
1572280549,58,0.690172,0.000000,0.000000,0.000000,events/second
1572280552,58,0.666308,0.000000,0.000000,0.000000,events/second
1572280555,58,0.644198,0.000000,0.000000,0.000000,events/second
1572280558,58,0.623251,0.000000,0.000000,0.000000,events/second
1572280561,58,0.604009,0.000000,0.000000,0.000000,events/second
1572280564,58,0.585684,0.000000,0.000000,0.000000,events/second
1572280567,58,0.568389,0.000000,0.000000,0.000000,events/second
1572280570,58,0.552257,0.000000,0.000000,0.000000,events/second
1572280573,58,0.537043,0.000000,0.000000,0.000000,events/second
1572280576,58,0.522278,0.000000,0.000000,0.000000,events/second
1572280579,58,0.508565,0.000000,0.000000,0.000000,events/second
1572280582,58,0.495461,0.000000,0.000000,0.000000,events/second
1572280585,64,0.533236,0.000000,0.000000,0.000000,events/second
1572280588,64,0.520162,0.000000,0.000000,0.000000,events/second
1572280591,64,0.507778,0.000000,0.000000,0.000000,events/second
1572280594,64,0.495914,0.000000,0.000000,0.000000,events/second
1572280597,64,0.484802,0.000000,0.000000,0.000000,events/second
1572280600,64,0.473903,0.000000,0.000000,0.000000,events/second
1572280603,64,0.463638,0.000000,0.000000,0.000000,events/second
1572280606,64,0.453770,0.000000,0.000000,0.000000,events/second
1572280609,64,0.444256,0.000000,0.000000,0.000000,events/second
1572280612,64,0.435382,0.000000,0.000000,0.000000,events/second
1572280615,64,0.426543,0.000000,0.000000,0.000000,events/second
1572280618,64,0.418186,0.000000,0.000000,0.000000,events/second
1572280621,64,0.410153,0.000000,0.000000,0.000000,events/second
1572280624,64,0.402381,0.000000,0.000000,0.000000,events/second
1572280627,64,0.394972,0.000000,0.000000,0.000000,events/second
1572280630,64,0.387798,0.000000,0.000000,0.000000,events/second
1572280633,64,0.380873,0.000000,0.000000,0.000000,events/second
1572280636,64,0.374194,0.000000,0.000000,0.000000,events/second
1572280639,64,0.367717,0.000000,0.000000,0.000000,events/second
