t,value
1572280468,-1
1572280471,10
1572280475,11
1572280477,11
1572280480,11
1572280483,11
1572280486,11
1572280489,11
1572280492,11
1572280495,11
1572280498,11
1572280501,11
1572280504,11
1572280507,11
1572280510,11
1572280513,11
1572280516,11
1572280519,11
1572280522,11
1572280525,11
1572280528,11
1572280531,11
1572280534,10
1572280537,10
1572280540,10
1572280543,10
1572280546,10
1572280549,10
1572280552,10
1572280555,10
1572280558,10
1572280561,10
1572280564,10
1572280567,10
1572280570,10
1572280573,10
1572280576,10
1572280579,10
1572280582,10
1572280585,10
1572280588,10
1572280591,10
1572280594,9
1572280597,9
1572280600,9
1572280603,9
1572280606,9
1572280609,9
1572280612,9
1572280615,9
1572280618,9
1572280621,9
1572280624,9
1572280627,9
1572280630,9
1572280633,9
1572280636,9
1572280639,9
1572280642,9
1572280645,9
1572280648,9
1572280651,9
1572280654,8
1572280657,8
1572280660,8
1572280663,8
1572280666,8
1572280669,8
1572280672,8
1572280675,8
1572280678,8
1572280681,8
1572280684,8
1572280687,8
1572280690,8
1572280693,8
1572280696,8
1572280699,8
1572280702,8
1572280705,8
1572280708,8
1572280711,8
1572280714,8
1572280717,8
1572280720,8
1572280723,8
1572280726,8
1572280729,8
1572280732,8
1572280735,8
1572280738,8
1572280741,8
1572280744,8
1572280747,8
1572280750,8
1572280753,8
1572280756,8
1572280759,8
1572280762,8
1572280765,8
1572280768,8
1572280771,8
1572280774,8
1572280777,8
1572280780,8
1572280783,8
1572280786,8
1572280789,8
1572280792,8
1572280795,8
1572280798,8
1572280801,8
1572280804,8
1572280807,8
1572280810,8
1572280813,8
1572280816,8
1572280819,8
1572280822,8
1572280825,8
1572280828,8
1572280831,8
1572280834,8
1572280837,8
1572280840,8
1572280843,8
1572280846,8
1572280849,8
1572280852,8
1572280855,8
1572280858,8
1572280861,8
1572280864,8
1572280867,8
1572280870,8
1572280873,8
1572280876,8
1572280879,8
1572280882,8
1572280885,8
1572280888,8
1572280891,8
1572280894,8
1572280897,8
1572280900,8
1572280903,8
1572280906,8
1572280909,8
1572280912,8
1572280915,8
1572280918,8
1572280921,8
1572280924,8
1572280927,8
1572280930,8
1572280933,8
1572280936,8
1572280939,8
1572280942,8
1572280945,8
1572280948,8
1572280951,8
1572280954,8
1572280957,8
1572280960,8
1572280963,8
1572280966,8
1572280969,8
1572280972,8
1572280975,8
1572280978,8
1572280981,8
1572280984,8
1572280987,8
1572280990,8
1572280993,8
1572280996,8
1572280999,8
1572281002,8
1572281005,8
1572281008,8
1572281011,8
1572281014,8
1572281017,8
1572281020,8
1572281023,8
1572281026,8
1572281029,8
1572281032,8
1572281035,8
1572281038,8
1572281041,8
1572281044,8
1572281047,8
1572281050,8
1572281053,8
1572281056,8
1572281059,8
1572281062,8
1572281065,8
1572281068,8
1572281071,8
1572281074,8
1572281077,8
1572281080,8
1572281083,8
1572281086,8
1572281089,8
1572281092,8
1572281095,8
1572281098,8
1572281101,8
1572281104,8
1572281107,8
1572281110,8
1572281113,8
1572281116,8
1572281119,8
1572281122,8
1572281125,8
1572281128,8
1572281131,8
1572281134,8
1572281137,8
1572281140,8
1572281143,8
1572281146,8
1572281149,8
1572281152,8
1572281155,8
1572281158,8
1572281161,8
1572281164,8
1572281167,8
1572281170,8
1572281173,8
1572281176,8
1572281179,8
1572281182,8
1572281185,8
1572281188,8
1572281191,8
1572281194,8
1572281197,8
1572281200,8
1572281203,8
1572281206,8
1572281209,8
1572281212,8
1572281215,8
1572281218,8
1572281221,8
1572281224,8
1572281227,8
1572281230,8
1572281233,8
1572281236,8
1572281239,8
1572281242,8
1572281245,8
1572281248,8
1572281251,8
1572281254,8
1572281257,8
1572281260,8
1572281263,8
1572281266,8
1572281269,8
1572281272,8
1572281275,8
1572281278,8
1572281281,8
1572281284,8
1572281287,8
1572281290,8
1572281293,8
1572281296,8
1572281299,8
1572281302,8
1572281305,8
1572281308,8
1572281311,8
1572281314,8
1572281317,8
1572281320,8
1572281323,8
1572281326,8
1572281329,8
1572281332,8
1572281335,8
1572281338,8
1572281341,8
1572281344,8
1572281347,8
1572281350,8
1572281353,8
1572281356,8
1572281359,8
1572281362,8
t,value
1572281381,-1
1572281384,10
1572281387,10
1572281390,10
1572281393,10
1572281396,10
1572281399,10
1572281402,10
1572281405,10
1572281408,10
1572281411,10
1572281414,10
1572281417,10
1572281420,10
1572281423,10
1572281426,10
1572281429,10
1572281432,10
1572281435,10
1572281438,10
1572281441,10
1572281444,9
1572281447,9
1572281450,9
1572281453,9
1572281456,9
1572281459,9
1572281462,9
1572281465,9
1572281468,9
1572281471,9
1572281474,9
1572281477,9
1572281480,9
1572281483,9
1572281486,9
1572281489,9
1572281492,9
1572281495,9
1572281498,9
1572281501,9
1572281504,8
1572281507,8
1572281510,8
1572281513,8
1572281516,8
1572281519,8
1572281522,8
1572281525,8
1572281528,8
1572281531,8
1572281534,8
1572281537,8
1572281540,8
1572281543,8
1572281546,8
1572281549,8
1572281552,8
1572281555,8
1572281558,8
1572281561,8
1572281564,8
1572281567,8
1572281570,8
1572281573,8
1572281576,8
1572281579,8
1572281582,8
1572281585,8
1572281588,8
1572281591,8
1572281594,8
1572281597,8
1572281600,8
1572281603,8
1572281606,8
1572281609,8
1572281612,8
1572281615,8
1572281618,8
1572281621,8
1572281624,8
1572281627,8
1572281630,8
1572281633,8
1572281636,8
1572281639,8
1572281642,8
1572281645,8
1572281648,8
1572281651,8
1572281654,8
1572281657,8
1572281660,8
1572281663,8
1572281666,8
1572281669,8
1572281672,8
1572281675,8
1572281678,8
1572281681,8
1572281684,8
1572281687,8
1572281690,8
1572281693,8
1572281696,8
1572281699,8
1572281702,8
1572281705,8
1572281708,8
1572281711,8
1572281714,8
1572281717,8
1572281720,8
1572281723,8
1572281726,8
1572281729,8
1572281732,8
1572281735,8
1572281738,8
1572281741,8
1572281744,8
1572281747,8
1572281750,8
1572281753,8
1572281756,8
1572281759,8
1572281762,8
1572281765,8
1572281768,8
1572281771,8
1572281774,8
1572281777,8
1572281780,8
1572281783,8
1572281786,8
1572281789,8
1572281792,8
1572281795,8
1572281798,8
1572281801,8
1572281804,8
1572281807,8
1572281810,8
1572281813,8
1572281816,8
1572281819,8
1572281822,8
1572281825,8
1572281828,8
1572281831,8
1572281834,8
1572281837,8
1572281840,8
1572281843,8
1572281846,8
1572281849,8
1572281852,8
1572281855,8
1572281858,8
1572281861,8
1572281864,8
1572281867,8
1572281870,8
1572281873,8
