t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280471,1,0.164305,0.000000,0.000000,0.000000,events/second
1572280475,13,1.420778,0.000000,0.000000,0.000000,events/second
1572280477,19,1.577129,0.000000,0.000000,0.000000,events/second
1572280480,19,1.261814,0.000000,0.000000,0.000000,events/second
1572280483,19,1.050748,0.000000,0.000000,0.000000,events/second
1572280486,19,0.902935,0.000000,0.000000,0.000000,events/second
1572280489,19,0.789380,0.000000,0.000000,0.000000,events/second
1572280492,19,0.702142,0.000000,0.000000,0.000000,events/second
1572280495,25,0.831572,0.000000,0.000000,0.000000,events/second
1572280498,25,0.755607,0.000000,0.000000,0.000000,events/second
1572280501,25,0.693134,0.000000,0.000000,0.000000,events/second
1572280504,25,0.640603,0.000000,0.000000,0.000000,events/second
1572280507,25,0.594443,0.000000,0.000000,0.000000,events/second
1572280510,25,0.554842,0.000000,0.000000,0.000000,events/second
1572280513,31,0.645311,0.000000,0.000000,0.000000,events/second
1572280516,31,0.607366,0.000000,0.000000,0.000000,events/second
1572280519,31,0.573638,0.000000,0.000000,0.000000,events/second
1572280522,31,0.543309,0.000000,0.000000,0.000000,events/second
1572280525,31,0.516149,0.000000,0.000000,0.000000,events/second
1572280528,31,0.491763,0.000000,0.000000,0.000000,events/second
1572280531,31,0.469312,0.000000,0.000000,0.000000,events/second
1572280534,37,0.535656,0.000000,0.000000,0.000000,events/second
1572280537,37,0.513512,0.000000,0.000000,0.000000,events/second
1572280540,37,0.493043,0.000000,0.000000,0.000000,events/second
1572280543,37,0.474051,0.000000,0.000000,0.000000,events/second
1572280546,37,0.456580,0.000000,0.000000,0.000000,events/second
1572280549,37,0.440226,0.000000,0.000000,0.000000,events/second
1572280552,37,0.425003,0.000000,0.000000,0.000000,events/second
1572280555,43,0.477540,0.000000,0.000000,0.000000,events/second
1572280558,43,0.462012,0.000000,0.000000,0.000000,events/second
1572280561,43,0.447748,0.000000,0.000000,0.000000,events/second
1572280564,43,0.434167,0.000000,0.000000,0.000000,events/second
1572280567,43,0.421347,0.000000,0.000000,0.000000,events/second
1572280570,43,0.409392,0.000000,0.000000,0.000000,events/second
1572280573,49,0.453664,0.000000,0.000000,0.000000,events/second
1572280576,49,0.441192,0.000000,0.000000,0.000000,events/second
1572280579,49,0.429608,0.000000,0.000000,0.000000,events/second
