t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280471,1,0.164293,0.000000,0.000000,0.000000,events/second
1572280475,13,1.420679,0.000000,0.000000,0.000000,events/second
1572280477,19,1.577032,0.000000,0.000000,0.000000,events/second
1572280480,19,1.261763,0.000000,0.000000,0.000000,events/second
1572280483,19,1.050705,0.000000,0.000000,0.000000,events/second
1572280486,19,0.902879,0.000000,0.000000,0.000000,events/second
1572280489,19,0.789355,0.000000,0.000000,0.000000,events/second
1572280492,19,0.702128,0.000000,0.000000,0.000000,events/second
1572280495,25,0.831548,0.000000,0.000000,0.000000,events/second
1572280498,25,0.755582,0.000000,0.000000,0.000000,events/second
1572280501,25,0.693126,0.000000,0.000000,0.000000,events/second
1572280504,25,0.640600,0.000000,0.000000,0.000000,events/second
1572280507,25,0.594412,0.000000,0.000000,0.000000,events/second
1572280510,25,0.554832,0.000000,0.000000,0.000000,events/second
1572280513,31,0.645304,0.000000,0.000000,0.000000,events/second
1572280516,31,0.607362,0.000000,0.000000,0.000000,events/second
1572280519,31,0.573632,0.000000,0.000000,0.000000,events/second
1572280522,31,0.543299,0.000000,0.000000,0.000000,events/second
1572280525,31,0.516136,0.000000,0.000000,0.000000,events/second
1572280528,31,0.491758,0.000000,0.000000,0.000000,events/second
1572280531,31,0.469306,0.000000,0.000000,0.000000,events/second
1572280534,37,0.535649,0.000000,0.000000,0.000000,events/second
1572280537,37,0.513505,0.000000,0.000000,0.000000,events/second
1572280540,37,0.493038,0.000000,0.000000,0.000000,events/second
1572280543,37,0.474041,0.000000,0.000000,0.000000,events/second
1572280546,37,0.456578,0.000000,0.000000,0.000000,events/second
1572280549,37,0.440221,0.000000,0.000000,0.000000,events/second
1572280552,37,0.424997,0.000000,0.000000,0.000000,events/second
1572280555,43,0.477538,0.000000,0.000000,0.000000,events/second
1572280558,43,0.462009,0.000000,0.000000,0.000000,events/second
1572280561,43,0.447742,0.000000,0.000000,0.000000,events/second
1572280564,43,0.434164,0.000000,0.000000,0.000000,events/second
1572280567,43,0.421344,0.000000,0.000000,0.000000,events/second
1572280570,43,0.409392,0.000000,0.000000,0.000000,events/second
1572280573,49,0.453663,0.000000,0.000000,0.000000,events/second
1572280576,49,0.441190,0.000000,0.000000,0.000000,events/second
1572280579,49,0.429597,0.000000,0.000000,0.000000,events/second
1572280582,49,0.418536,0.000000,0.000000,0.000000,events/second
1572280585,49,0.408222,0.000000,0.000000,0.000000,events/second
1572280588,49,0.398214,0.000000,0.000000,0.000000,events/second
1572280591,49,0.388735,0.000000,0.000000,0.000000,events/second
1572280594,55,0.426134,0.000000,0.000000,0.000000,events/second
1572280597,55,0.416590,0.000000,0.000000,0.000000,events/second
1572280600,55,0.407214,0.000000,0.000000,0.000000,events/second
1572280603,55,0.398405,0.000000,0.000000,0.000000,events/second
1572280606,55,0.389926,0.000000,0.000000,0.000000,events/second
1572280609,55,0.381741,0.000000,0.000000,0.000000,events/second
1572280612,55,0.374130,0.000000,0.000000,0.000000,events/second
1572280615,61,0.406513,0.000000,0.000000,0.000000,events/second
1572280618,61,0.398553,0.000000,0.000000,0.000000,events/second
1572280621,61,0.390897,0.000000,0.000000,0.000000,events/second
1572280624,61,0.383494,0.000000,0.000000,0.000000,events/second
1572280627,61,0.376429,0.000000,0.000000,0.000000,events/second
1572280630,61,0.369592,0.000000,0.000000,0.000000,events/second
1572280633,67,0.398699,0.000000,0.000000,0.000000,events/second
1572280636,67,0.391699,0.000000,0.000000,0.000000,events/second
1572280639,67,0.384928,0.000000,0.000000,0.000000,events/second
1572280642,67,0.378440,0.000000,0.000000,0.000000,events/second
1572280645,67,0.372147,0.000000,0.000000,0.000000,events/second
1572280648,67,0.366114,0.000000,0.000000,0.000000,events/second
1572280651,67,0.360008,0.000000,0.000000,0.000000,events/second
1572280654,73,0.386112,0.000000,0.000000,0.000000,events/second
1572280657,73,0.380088,0.000000,0.000000,0.000000,events/second
1572280660,73,0.374281,0.000000,0.000000,0.000000,events/second
1572280663,73,0.368601,0.000000,0.000000,0.000000,events/second
1572280666,73,0.363138,0.000000,0.000000,0.000000,events/second
1572280669,73,0.357755,0.000000,0.000000,0.000000,events/second
1572280672,73,0.352590,0.000000,0.000000,0.000000,events/second
1572280675,79,0.376110,0.000000,0.000000,0.000000,events/second
1572280678,79,0.370822,0.000000,0.000000,0.000000,events/second
1572280681,79,0.365652,0.000000,0.000000,0.000000,events/second
1572280684,79,0.360642,0.000000,0.000000,0.000000,events/second
1572280687,79,0.355796,0.000000,0.000000,0.000000,events/second
1572280690,79,0.351028,0.000000,0.000000,0.000000,events/second
1572280693,85,0.372685,0.000000,0.000000,0.000000,events/second
1572280696,85,0.367954,0.000000,0.000000,0.000000,events/second
1572280699,85,0.363251,0.000000,0.000000,0.000000,events/second
1572280702,85,0.358583,0.000000,0.000000,0.000000,events/second
1572280705,85,0.354118,0.000000,0.000000,0.000000,events/second
1572280708,85,0.349725,0.000000,0.000000,0.000000,events/second
1572280711,85,0.345477,0.000000,0.000000,0.000000,events/second
1572280714,91,0.365367,0.000000,0.000000,0.000000,events/second
1572280717,91,0.361035,0.000000,0.000000,0.000000,events/second
1572280720,91,0.356803,0.000000,0.000000,0.000000,events/second
1572280723,91,0.352640,0.000000,0.000000,0.000000,events/second
1572280726,91,0.348595,0.000000,0.000000,0.000000,events/second
1572280729,91,0.344640,0.000000,0.000000,0.000000,events/second
1572280732,91,0.340758,0.000000,0.000000,0.000000,events/second
1572280735,97,0.359252,0.000000,0.000000,0.000000,events/second
1572280738,97,0.355314,0.000000,0.000000,0.000000,events/second
1572280741,97,0.351389,0.000000,0.000000,0.000000,events/second
1572280744,97,0.347605,0.000000,0.000000,0.000000,events/second
1572280747,97,0.343949,0.000000,0.000000,0.000000,events/second
1572280750,97,0.340342,0.000000,0.000000,0.000000,events/second
1572280753,102,0.354114,0.000000,0.000000,0.000000,events/second
1572280756,103,0.353948,0.000000,0.000000,0.000000,events/second
1572280759,103,0.350271,0.000000,0.000000,0.000000,events/second
1572280762,103,0.346746,0.000000,0.000000,0.000000,events/second
1572280765,103,0.343311,0.000000,0.000000,0.000000,events/second
1572280768,103,0.339919,0.000000,0.000000,0.000000,events/second
1572280771,103,0.336593,0.000000,0.000000,0.000000,events/second
1572280774,109,0.352709,0.000000,0.000000,0.000000,events/second
1572280777,109,0.349301,0.000000,0.000000,0.000000,events/second
1572280780,109,0.346031,0.000000,0.000000,0.000000,events/second
1572280783,109,0.342729,0.000000,0.000000,0.000000,events/second
1572280786,109,0.339512,0.000000,0.000000,0.000000,events/second
1572280789,109,0.336385,0.000000,0.000000,0.000000,events/second
1572280792,109,0.333310,0.000000,0.000000,0.000000,events/second
1572280795,115,0.348483,0.000000,0.000000,0.000000,events/second
1572280798,115,0.345344,0.000000,0.000000,0.000000,events/second
1572280801,115,0.342215,0.000000,0.000000,0.000000,events/second
1572280804,115,0.339186,0.000000,0.000000,0.000000,events/second
1572280807,115,0.336173,0.000000,0.000000,0.000000,events/second
1572280810,115,0.333324,0.000000,0.000000,0.000000,events/second
1572280813,120,0.344746,0.000000,0.000000,0.000000,events/second
1572280816,121,0.344693,0.000000,0.000000,0.000000,events/second
1572280819,121,0.341780,0.000000,0.000000,0.000000,events/second
1572280822,121,0.338866,0.000000,0.000000,0.000000,events/second
1572280825,121,0.336060,0.000000,0.000000,0.000000,events/second
1572280828,121,0.333329,0.000000,0.000000,0.000000,events/second
1572280831,121,0.330545,0.000000,0.000000,0.000000,events/second
1572280834,127,0.344171,0.000000,0.000000,0.000000,events/second
1572280837,127,0.341344,0.000000,0.000000,0.000000,events/second
