t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280471,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280475,0,0.000000,0.000000,0.000000,0.000000,events/second
1572280477,2,0.165935,0.000000,0.000000,0.000000,events/second
1572280480,2,0.132772,0.000000,0.000000,0.000000,events/second
1572280483,2,0.110576,0.000000,0.000000,0.000000,events/second
1572280486,2,0.095023,0.000000,0.000000,0.000000,events/second
1572280489,2,0.083063,0.000000,0.000000,0.000000,events/second
1572280492,2,0.073899,0.000000,0.000000,0.000000,events/second
1572280495,4,0.133027,0.000000,0.000000,0.000000,events/second
1572280498,4,0.120841,0.000000,0.000000,0.000000,events/second
1572280501,4,0.110890,0.000000,0.000000,0.000000,events/second
1572280504,4,0.102491,0.000000,0.000000,0.000000,events/second
1572280507,4,0.095086,0.000000,0.000000,0.000000,events/second
1572280510,4,0.088762,0.000000,0.000000,0.000000,events/second
1572280513,6,0.124889,0.000000,0.000000,0.000000,events/second
1572280516,6,0.117547,0.000000,0.000000,0.000000,events/second
1572280519,6,0.111018,0.000000,0.000000,0.000000,events/second
1572280522,6,0.105143,0.000000,0.000000,0.000000,events/second
1572280525,6,0.099873,0.000000,0.000000,0.000000,events/second
1572280528,6,0.095173,0.000000,0.000000,0.000000,events/second
1572280531,6,0.090825,0.000000,0.000000,0.000000,events/second
1572280534,8,0.115807,0.000000,0.000000,0.000000,events/second
1572280537,8,0.111019,0.000000,0.000000,0.000000,events/second
1572280540,8,0.106596,0.000000,0.000000,0.000000,events/second
1572280543,8,0.102488,0.000000,0.000000,0.000000,events/second
1572280546,8,0.098714,0.000000,0.000000,0.000000,events/second
1572280549,8,0.095176,0.000000,0.000000,0.000000,events/second
1572280552,11,0.126338,0.000000,0.000000,0.000000,events/second
1572280555,15,0.166574,0.000000,0.000000,0.000000,events/second
1572280558,15,0.161154,0.000000,0.000000,0.000000,events/second
1572280561,15,0.156175,0.000000,0.000000,0.000000,events/second
1572280564,15,0.151444,0.000000,0.000000,0.000000,events/second
1572280567,17,0.166569,0.000000,0.000000,0.000000,events/second
1572280570,18,0.171371,0.000000,0.000000,0.000000,events/second
1572280573,20,0.185165,0.000000,0.000000,0.000000,events/second
