t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,6,1.885210,0.000000,0.000000,0.000000,events/second
1572280471,7,1.153693,0.000000,0.000000,0.000000,events/second
1572280475,7,0.757805,0.000000,0.000000,0.000000,events/second
1572280477,8,0.664854,0.000000,0.000000,0.000000,events/second
1572280480,8,0.531853,0.000000,0.000000,0.000000,events/second
1572280483,8,0.442806,0.000000,0.000000,0.000000,events/second
1572280486,8,0.380490,0.000000,0.000000,0.000000,events/second
1572280489,8,0.332500,0.000000,0.000000,0.000000,events/second
1572280492,8,0.295857,0.000000,0.000000,0.000000,events/second
1572280495,8,0.266211,0.000000,0.000000,0.000000,events/second
1572280498,8,0.241761,0.000000,0.000000,0.000000,events/second
1572280501,8,0.221880,0.000000,0.000000,0.000000,events/second
1572280504,8,0.205114,0.000000,0.000000,0.000000,events/second
1572280507,8,0.190228,0.000000,0.000000,0.000000,events/second
1572280510,8,0.177592,0.000000,0.000000,0.000000,events/second
1572280513,8,0.166601,0.000000,0.000000,0.000000,events/second
1572280516,8,0.156801,0.000000,0.000000,0.000000,events/second
1572280519,8,0.148075,0.000000,0.000000,0.000000,events/second
1572280522,8,0.140243,0.000000,0.000000,0.000000,events/second
1572280525,8,0.133211,0.000000,0.000000,0.000000,events/second
1572280528,8,0.126944,0.000000,0.000000,0.000000,events/second
1572280531,8,0.121133,0.000000,0.000000,0.000000,events/second
1572280534,8,0.115843,0.000000,0.000000,0.000000,events/second
1572280537,8,0.111048,0.000000,0.000000,0.000000,events/second
1572280540,8,0.106632,0.000000,0.000000,0.000000,events/second
1572280543,8,0.102513,0.000000,0.000000,0.000000,events/second
1572280546,8,0.098738,0.000000,0.000000,0.000000,events/second
1572280549,8,0.095198,0.000000,0.000000,0.000000,events/second
1572280552,8,0.091899,0.000000,0.000000,0.000000,events/second
1572280555,8,0.088861,0.000000,0.000000,0.000000,events/second
1572280558,8,0.085967,0.000000,0.000000,0.000000,events/second
1572280561,8,0.083307,0.000000,0.000000,0.000000,events/second
1572280564,8,0.080789,0.000000,0.000000,0.000000,events/second
1572280567,8,0.078399,0.000000,0.000000,0.000000,events/second
1572280570,8,0.076182,0.000000,0.000000,0.000000,events/second
1572280573,8,0.074083,0.000000,0.000000,0.000000,events/second
1572280576,8,0.072039,0.000000,0.000000,0.000000,events/second
1572280579,8,0.070142,0.000000,0.000000,0.000000,events/second
1572280582,8,0.068341,0.000000,0.000000,0.000000,events/second
1572280585,8,0.066658,0.000000,0.000000,0.000000,events/second
1572280588,8,0.065025,0.000000,0.000000,0.000000,events/second
1572280591,8,0.063477,0.000000,0.000000,0.000000,events/second
1572280594,8,0.061984,0.000000,0.000000,0.000000,events/second
1572280597,8,0.060603,0.000000,0.000000,0.000000,events/second
1572280600,8,0.059238,0.000000,0.000000,0.000000,events/second
1572280603,8,0.057956,0.000000,0.000000,0.000000,events/second
1572280606,8,0.056724,0.000000,0.000000,0.000000,events/second
1572280609,8,0.055532,0.000000,0.000000,0.000000,events/second
1572280612,8,0.054428,0.000000,0.000000,0.000000,events/second
1572280615,8,0.053318,0.000000,0.000000,0.000000,events/second
1572280618,8,0.052274,0.000000,0.000000,0.000000,events/second
1572280621,8,0.051268,0.000000,0.000000,0.000000,events/second
1572280624,8,0.050301,0.000000,0.000000,0.000000,events/second
1572280627,8,0.049371,0.000000,0.000000,0.000000,events/second
1572280630,8,0.048475,0.000000,0.000000,0.000000,events/second
1572280633,8,0.047610,0.000000,0.000000,0.000000,events/second
1572280636,8,0.046773,0.000000,0.000000,0.000000,events/second
1572280639,8,0.045964,0.000000,0.000000,0.000000,events/second
1572280642,8,0.045192,0.000000,0.000000,0.000000,events/second
1572280645,8,0.044439,0.000000,0.000000,0.000000,events/second
1572280648,8,0.043721,0.000000,0.000000,0.000000,events/second
1572280651,8,0.042992,0.000000,0.000000,0.000000,events/second
1572280654,8,0.042318,0.000000,0.000000,0.000000,events/second
1572280657,8,0.041656,0.000000,0.000000,0.000000,events/second
1572280660,8,0.041021,0.000000,0.000000,0.000000,events/second
1572280663,8,0.040395,0.000000,0.000000,0.000000,events/second
1572280666,8,0.039800,0.000000,0.000000,0.000000,events/second
1572280669,8,0.039209,0.000000,0.000000,0.000000,events/second
1572280672,8,0.038643,0.000000,0.000000,0.000000,events/second
1572280675,8,0.038090,0.000000,0.000000,0.000000,events/second
1572280678,8,0.037555,0.000000,0.000000,0.000000,events/second
1572280681,8,0.037027,0.000000,0.000000,0.000000,events/second
1572280684,8,0.036522,0.000000,0.000000,0.000000,events/second
1572280687,8,0.036033,0.000000,0.000000,0.000000,events/second
1572280690,8,0.035550,0.000000,0.000000,0.000000,events/second
1572280693,8,0.035078,0.000000,0.000000,0.000000,events/second
1572280696,8,0.034634,0.000000,0.000000,0.000000,events/second
1572280699,8,0.034192,0.000000,0.000000,0.000000,events/second
1572280702,8,0.033752,0.000000,0.000000,0.000000,events/second
1572280705,8,0.033330,0.000000,0.000000,0.000000,events/second
1572280708,8,0.032917,0.000000,0.000000,0.000000,events/second
1572280711,8,0.032518,0.000000,0.000000,0.000000,events/second
1572280714,8,0.032122,0.000000,0.000000,0.000000,events/second
1572280717,8,0.031741,0.000000,0.000000,0.000000,events/second
1572280720,8,0.031368,0.000000,0.000000,0.000000,events/second
1572280723,8,0.031003,0.000000,0.000000,0.000000,events/second
1572280726,8,0.030647,0.000000,0.000000,0.000000,events/second
1572280729,8,0.030300,0.000000,0.000000,0.000000,events/second
1572280732,8,0.029958,0.000000,0.000000,0.000000,events/second
1572280735,8,0.029632,0.000000,0.000000,0.000000,events/second
1572280738,8,0.029307,0.000000,0.000000,0.000000,events/second
1572280741,8,0.028982,0.000000,0.000000,0.000000,events/second
1572280744,8,0.028671,0.000000,0.000000,0.000000,events/second
1572280747,8,0.028369,0.000000,0.000000,0.000000,events/second
1572280750,8,0.028072,0.000000,0.000000,0.000000,events/second
1572280753,8,0.027775,0.000000,0.000000,0.000000,events/second
1572280756,8,0.027494,0.000000,0.000000,0.000000,events/second
1572280759,8,0.027207,0.000000,0.000000,0.000000,events/second
1572280762,8,0.026933,0.000000,0.000000,0.000000,events/second
1572280765,8,0.026667,0.000000,0.000000,0.000000,events/second
1572280768,8,0.026404,0.000000,0.000000,0.000000,events/second
1572280771,8,0.026145,0.000000,0.000000,0.000000,events/second
1572280774,8,0.025888,0.000000,0.000000,0.000000,events/second
1572280777,8,0.025638,0.000000,0.000000,0.000000,events/second
1572280780,8,0.025399,0.000000,0.000000,0.000000,events/second
1572280783,8,0.025156,0.000000,0.000000,0.000000,events/second
1572280786,8,0.024920,0.000000,0.000000,0.000000,events/second
