t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,92,28.874685,0.000000,0.000000,0.000000,events/second
1572280471,119,19.597675,0.000000,0.000000,0.000000,events/second
1572280475,119,12.880617,0.000000,0.000000,0.000000,events/second
1572280477,178,14.791634,0.000000,0.000000,0.000000,events/second
1572280480,178,11.832394,0.000000,0.000000,0.000000,events/second
1572280483,178,9.851481,0.000000,0.000000,0.000000,events/second
1572280486,178,8.465256,0.000000,0.000000,0.000000,events/second
1572280489,178,7.397343,0.000000,0.000000,0.000000,events/second
1572280492,178,6.582577,0.000000,0.000000,0.000000,events/second
1572280495,178,5.922789,0.000000,0.000000,0.000000,events/second
1572280498,178,5.378578,0.000000,0.000000,0.000000,events/second
1572280501,178,4.936589,0.000000,0.000000,0.000000,events/second
1572280504,178,4.563673,0.000000,0.000000,0.000000,events/second
1572280507,178,4.232316,0.000000,0.000000,0.000000,events/second
1572280510,178,3.951202,0.000000,0.000000,0.000000,events/second
1572280513,178,3.706773,0.000000,0.000000,0.000000,events/second
1572280516,178,3.488728,0.000000,0.000000,0.000000,events/second
1572280519,178,3.294550,0.000000,0.000000,0.000000,events/second
1572280522,178,3.120300,0.000000,0.000000,0.000000,events/second
1572280525,178,2.963875,0.000000,0.000000,0.000000,events/second
1572280528,178,2.824443,0.000000,0.000000,0.000000,events/second
1572280531,178,2.695102,0.000000,0.000000,0.000000,events/second
1572280534,178,2.577438,0.000000,0.000000,0.000000,events/second
1572280537,178,2.470732,0.000000,0.000000,0.000000,events/second
1572280540,178,2.372518,0.000000,0.000000,0.000000,events/second
1572280543,178,2.280843,0.000000,0.000000,0.000000,events/second
1572280546,178,2.196895,0.000000,0.000000,0.000000,events/second
1572280549,178,2.118077,0.000000,0.000000,0.000000,events/second
1572280552,178,2.044692,0.000000,0.000000,0.000000,events/second
1572280555,178,1.977132,0.000000,0.000000,0.000000,events/second
1572280558,178,1.912734,0.000000,0.000000,0.000000,events/second
1572280561,178,1.853492,0.000000,0.000000,0.000000,events/second
1572280564,178,1.797521,0.000000,0.000000,0.000000,events/second
1572280567,178,1.744335,0.000000,0.000000,0.000000,events/second
1572280570,178,1.695037,0.000000,0.000000,0.000000,events/second
1572280573,178,1.648317,0.000000,0.000000,0.000000,events/second
1572280576,178,1.602803,0.000000,0.000000,0.000000,events/second
1572280579,178,1.560644,0.000000,0.000000,0.000000,events/second
1572280582,178,1.520573,0.000000,0.000000,0.000000,events/second
1572280585,178,1.483110,0.000000,0.000000,0.000000,events/second
1572280588,178,1.446779,0.000000,0.000000,0.000000,events/second
1572280591,178,1.412347,0.000000,0.000000,0.000000,events/second
1572280594,178,1.379116,0.000000,0.000000,0.000000,events/second
1572280597,178,1.348397,0.000000,0.000000,0.000000,events/second
1572280600,178,1.318031,0.000000,0.000000,0.000000,events/second
1572280603,178,1.289491,0.000000,0.000000,0.000000,events/second
1572280606,178,1.262092,0.000000,0.000000,0.000000,events/second
