t,value
1572280468,196625
1572280471,239633
1572280475,239773
1572280477,239773
1572280480,239773
1572280483,239773
1572280486,239773
1572280489,239773
1572280492,239773
1572280495,239773
1572280498,239773
1572280501,239773
1572280504,239773
1572280507,239773
1572280510,239773
1572280513,239773
1572280516,239773
1572280519,239773
1572280522,239773
1572280525,239773
1572280528,239773
1572280531,239773
1572280534,239773
1572280537,239773
1572280540,239773
1572280543,239773
1572280546,239773
1572280549,239773
1572280552,239773
1572280555,239773
1572280558,239773
1572280561,239773
1572280564,239773
1572280567,239773
1572280570,239773
1572280573,239773
1572280576,239773
1572280579,239773
1572280582,239773
1572280585,239773
1572280588,239773
1572280591,239773
1572280594,239773
1572280597,239773
1572280600,239773
1572280603,239773
1572280606,239773
1572280609,239773
1572280612,239773
1572280615,239773
1572280618,239773
1572280621,239773
1572280624,239773
1572280627,239773
1572280630,239773
1572280633,239773
1572280636,239773
1572280639,239773
1572280642,239773
1572280645,239773
1572280648,239773
1572280651,239773
1572280654,239773
1572280657,239773
1572280660,239773
1572280663,239773
1572280666,239773
1572280669,239773
1572280672,239773
1572280675,239773
1572280678,239773
1572280681,239773
1572280684,239773
1572280687,239773
1572280690,239773
1572280693,239773
1572280696,239773
1572280699,239773
1572280702,239773
1572280705,239773
1572280708,239773
1572280711,239773
1572280714,239773
1572280717,239773
1572280720,239773
1572280723,239773
1572280726,239773
1572280729,239773
1572280732,239773
1572280735,239773
1572280738,239773
1572280741,239773
1572280744,239773
1572280747,239773
1572280750,239773
1572280753,239773
1572280756,239773
1572280759,239773
1572280762,239773
1572280765,239773
1572280768,239773
1572280771,239773
1572280774,239773
1572280777,239773
1572280780,239773
1572280783,239773
1572280786,239773
1572280789,239773
1572280792,239773
1572280795,239773
1572280798,239773
1572280801,239773
1572280804,239773
1572280807,239773
1572280810,239773
1572280813,239773
1572280816,239773
1572280819,239773
1572280822,239773
1572280825,239773
1572280828,239773
1572280831,239773
1572280834,239773
1572280837,239773
1572280840,239773
1572280843,239773
1572280846,239773
1572280849,239773
1572280852,239773
1572280855,239773
1572280858,239773
1572280861,239773
1572280864,239773
1572280867,239773
1572280870,239773
1572280873,239773
1572280876,239773
1572280879,239773
1572280882,239773
1572280885,239773
1572280888,239773
1572280891,239773
1572280894,239773
1572280897,239773
1572280900,239773
1572280903,239773
1572280906,239773
1572280909,239773
1572280912,239773
1572280915,239773
1572280918,239773
1572280921,239773
1572280924,239773
1572280927,239773
1572280930,239773
1572280933,239773
1572280936,239773
1572280939,239773
1572280942,239773
1572280945,239773
1572280948,239773
1572280951,239773
1572280954,239773
1572280957,239773
1572280960,239773
1572280963,239773
1572280966,239773
1572280969,239773
1572280972,239773
1572280975,239773
1572280978,239773
1572280981,239773
1572280984,239773
1572280987,239773
1572280990,239773
1572280993,239773
1572280996,239773
1572280999,239773
1572281002,239773
1572281005,239773
1572281008,239773
1572281011,239773
1572281014,239773
1572281017,222349
1572281020,222349
1572281023,222349
1572281026,222349
1572281029,222349
1572281032,222349
1572281035,222349
1572281038,222349
1572281041,222349
1572281044,222349
1572281047,222349
1572281050,222349
1572281053,222349
1572281056,222349
1572281059,222349
1572281062,222349
1572281065,222349
1572281068,222349
1572281071,222349
1572281074,222349
1572281077,222349
1572281080,222349
1572281083,222349
1572281086,222349
1572281089,222349
1572281092,222349
1572281095,222349
1572281098,222349
1572281101,222349
1572281104,222349
1572281107,222349
1572281110,222349
1572281113,222349
1572281116,222349
1572281119,222349
1572281122,222349
1572281125,222349
1572281128,222349
1572281131,222349
1572281134,222349
1572281137,222349
1572281140,222349
1572281143,222349
1572281146,222349
1572281149,222349
1572281152,222349
1572281155,222349
1572281158,222349
1572281161,222349
1572281164,222349
1572281167,222349
1572281170,222349
1572281173,222349
1572281176,222349
1572281179,222349
1572281182,222349
1572281185,222349
1572281188,222349
1572281191,222349
1572281194,222349
1572281197,222349
1572281200,222349
1572281203,222349
1572281206,222349
1572281209,222349
1572281212,222349
1572281215,222349
1572281218,222349
1572281221,222349
1572281224,222349
1572281227,222349
1572281230,222349
1572281233,222349
1572281236,222349
1572281239,222349
1572281242,222349
1572281245,222349
1572281248,222349
1572281251,222349
1572281254,222349
1572281257,222349
1572281260,222349
1572281263,222349
1572281266,222349
1572281269,222349
1572281272,222349
1572281275,222349
1572281278,222349
1572281281,222349
1572281284,222349
1572281287,222349
1572281290,222349
1572281293,222349
1572281296,222349
1572281299,222349
1572281302,222349
1572281305,222349
1572281308,222349
1572281311,222349
1572281314,222349
1572281317,222349
1572281320,222349
1572281323,222349
1572281326,222349
1572281329,222349
1572281332,222349
1572281335,222349
1572281338,222349
1572281341,222349
1572281344,222349
1572281347,222349
1572281350,222349
1572281353,222349
1572281356,222349
1572281359,222349
1572281362,222349
t,value
1572281381,200705
1572281384,269453
1572281387,269453
1572281390,269453
1572281393,269453
1572281396,269453
1572281399,269453
1572281402,269453
1572281405,269453
1572281408,269453
1572281411,269453
1572281414,269453
1572281417,269453
1572281420,269453
1572281423,269453
1572281426,269453
1572281429,269453
1572281432,269453
1572281435,269453
1572281438,269453
1572281441,269453
1572281444,269453
1572281447,269453
1572281450,269453
1572281453,269453
1572281456,269453
1572281459,269453
1572281462,269453
1572281465,269453
1572281468,269453
1572281471,269453
1572281474,269453
1572281477,269453
1572281480,269453
1572281483,269453
1572281486,269453
1572281489,269453
1572281492,269453
1572281495,269453
1572281498,269453
1572281501,269453
1572281504,269453
1572281507,269453
1572281510,269453
1572281513,269453
1572281516,269453
1572281519,269453
1572281522,269453
1572281525,269453
1572281528,269453
1572281531,269453
1572281534,269453
1572281537,269453
1572281540,269453
1572281543,269453
1572281546,269453
1572281549,269453
1572281552,269453
1572281555,269453
1572281558,269453
1572281561,269453
1572281564,269453
1572281567,269453
1572281570,269453
1572281573,269453
1572281576,243713
1572281579,243713
1572281582,243713
1572281585,243713
1572281588,243713
1572281591,243713
1572281594,243713
1572281597,243713
1572281600,243713
1572281603,243713
1572281606,243713
1572281609,243713
1572281612,243713
1572281615,243713
1572281618,243713
1572281621,243713
1572281624,243713
1572281627,243713
1572281630,243713
1572281633,243713
1572281636,243713
1572281639,243713
1572281642,243713
1572281645,243713
1572281648,243713
1572281651,243713
1572281654,243713
1572281657,243713
1572281660,243713
1572281663,243713
1572281666,243713
1572281669,243713
1572281672,243713
1572281675,243713
1572281678,243713
1572281681,243713
1572281684,243713
1572281687,243713
1572281690,243713
1572281693,243713
1572281696,243713
