t,value
1572280468,289406976
1572280471,114294784
1572280475,252706816
1572280477,3145728
1572280480,4194304
1572280483,4194304
1572280486,5242880
1572280489,6291456
1572280492,6291456
1572280495,14680064
1572280498,14680064
1572280501,15728640
1572280504,15728640
1572280507,16777216
1572280510,16777216
1572280513,25165824
1572280516,25165824
1572280519,26214400
1572280522,26214400
1572280525,27262976
1572280528,28311552
1572280531,28311552
1572280534,36700160
1572280537,36700160
1572280540,37748736
1572280543,37748736
1572280546,37748736
1572280549,38797312
1572280552,41943040
1572280555,49283072
1572280558,49283072
1572280561,50331648
1572280564,50331648
1572280567,51380224
1572280570,52428800
1572280573,59768832
1572280576,60817408
1572280579,60817408
1572280582,61865984
1572280585,61865984
1572280588,62914560
1572280591,62914560
1572280594,70254592
1572280597,71303168
1572280600,71303168
1572280603,72351744
1572280606,72351744
1572280609,72351744
1572280612,73400320
1572280615,80740352
1572280618,80740352
1572280621,81788928
1572280624,81788928
1572280627,82837504
1572280630,83886080
1572280633,91226112
1572280636,91226112
1572280639,91226112
1572280642,92274688
1572280645,93323264
1572280648,94371840
1572280651,94371840
1572280654,101711872
1572280657,101711872
1572280660,101711872
1572280663,102760448
1572280666,102760448
1572280669,103809024
1572280672,104857600
1572280675,112197632
1572280678,112197632
1572280681,112197632
1572280684,113246208
1572280687,114294784
1572280690,114294784
1572280693,121634816
1572280696,121634816
1572280699,121634816
1572280702,122683392
1572280705,122683392
1572280708,123731968
1572280711,123731968
1572280714,132120576
1572280717,132120576
1572280720,133169152
1572280723,133169152
1572280726,134217728
1572280729,134217728
1572280732,135266304
1572280735,141557760
1572280738,142606336
1572280741,142606336
1572280744,142606336
1572280747,143654912
1572280750,143654912
1572280753,148897792
1572280756,152043520
1572280759,152043520
1572280762,153092096
1572280765,153092096
1572280768,154140672
1572280771,154140672
1572280774,162529280
1572280777,162529280
1572280780,162529280
1572280783,163577856
1572280786,163577856
1572280789,164626432
1572280792,164626432
1572280795,170917888
1572280798,171966464
1572280801,171966464
1572280804,173015040
1572280807,173015040
1572280810,173015040
1572280813,178257920
1572280816,181403648
1572280819,182452224
1572280822,182452224
1572280825,183500800
1572280828,183500800
1572280831,184549376
1572280834,191889408
1572280837,191889408
1572280840,192937984
1572280843,192937984
1572280846,193986560
1572280849,193986560
1572280852,193986560
1572280855,202375168
1572280858,202375168
1572280861,202375168
1572280864,203423744
1572280867,203423744
1572280870,204472320
1572280873,208666624
1572280876,211812352
1572280879,211812352
1572280882,212860928
1572280885,212860928
1572280888,213909504
1572280891,213909504
1572280894,221249536
1572280897,221249536
1572280900,222298112
1572280903,222298112
1572280906,222298112
1572280909,223346688
1572280912,223346688
1572280915,231735296
1572280918,231735296
1572280921,231735296
1572280924,232783872
1572280927,232783872
1572280930,233832448
1572280933,238026752
1572280936,241172480
1572280939,241172480
1572280942,242221056
