t,value
1572280468,50943592
1572280471,66518432
1572280475,73065584
1572280477,73958512
1572280480,73968184
1572280483,73977808
1572280486,73983848
1572280489,73994112
1572280492,73996928
1572280495,74140912
1572280498,74143888
1572280501,74144704
1572280504,74147488
1572280507,74151720
1572280510,74155936
1572280513,74206576
1572280516,74206576
1572280519,74207184
1572280522,74207184
1572280525,74213624
1572280528,74215552
1572280531,74218320
1572280534,74277184
1572280537,74277952
1572280540,74280096
1572280543,74285944
1572280546,74287656
1572280549,74288376
1572280552,74393824
1572280555,74434496
1572280558,74437512
1572280561,74437512
1572280564,74437816
1572280567,74442168
1572280570,74447624
1572280573,74466208
1572280576,74468344
1572280579,74468344
1572280582,74469056
1572280585,74470224
1572280588,74471088
1572280591,74472712
1572280594,74515728
1572280597,74523456
1572280600,74524960
1572280603,74529856
1572280606,74529856
1572280609,74529856
1572280612,74529856
1572280615,74635736
1572280618,74639840
1572280621,74639840
1572280624,74641344
1572280627,74654832
1572280630,74672032
1572280633,74724744
1572280636,74732112
1572280639,74732112
1572280642,74732112
1572280645,74738216
1572280648,74756712
1572280651,74756712
1572280654,74777048
1572280657,74777536
1572280660,74779776
1572280663,74779776
1572280666,74779776
1572280669,74789608
1572280672,74790512
1572280675,74808424
1572280678,74808424
1572280681,74808424
1572280684,74808424
1572280687,74809688
1572280690,74809688
1572280693,74825416
1572280696,74826104
1572280699,74826104
1572280702,74829704
1572280705,74834632
1572280708,74835184
1572280711,74836856
1572280714,74859184
1572280717,74859816
1572280720,74860568
1572280723,74862144
1572280726,74868416
1572280729,74869840
1572280732,74869840
1572280735,74914272
1572280738,74914272
1572280741,74914272
1572280744,74915032
1572280747,74915032
1572280750,74915032
1572280753,74936808
1572280756,74947272
1572280759,74947272
1572280762,74947272
1572280765,74948504
1572280768,74948504
1572280771,74948504
1572280774,74974000
1572280777,74974000
1572280780,74982744
1572280783,74982744
1572280786,74982744
1572280789,74982744
1572280792,74982744
1572280795,74989080
1572280798,74989080
1572280801,74989080
1572280804,74989080
1572280807,74989080
1572280810,74989080
1572280813,74994216
1572280816,74998496
1572280819,74998496
1572280822,74998496
1572280825,75001488
1572280828,75001776
1572280831,75001776
1572280834,75013888
1572280837,75013888
1572280840,75014440
1572280843,75014440
1572280846,75014440
1572280849,75019520
1572280852,75032128
1572280855,75065936
1572280858,75065936
1572280861,75065936
1572280864,75065936
1572280867,75065936
1572280870,75065936
1572280873,75082368
1572280876,75088704
1572280879,75090192
1572280882,75091824
1572280885,75097592
1572280888,75097888
1572280891,75097888
1572280894,75105248
1572280897,75105248
1572280900,75105248
1572280903,75105248
1572280906,75105248
1572280909,75105248
1572280912,75105248
1572280915,75118584
1572280918,75118584
1572280921,75118584
1572280924,75118584
1572280927,75118584
1572280930,75118584
1572280933,75123760
1572280936,75135168
1572280939,75136928
1572280942,75137360
1572280945,75143888
1572280948,75143888
1572280951,75143888
1572280954,75151520
1572280957,75151520
1572280960,75151520
1572280963,75151520
1572280966,75151520
1572280969,75151520
1572280972,75151520
1572280975,75174400
1572280978,75174400
1572280981,75178416
1572280984,75178416
1572280987,75178416
1572280990,75178416
1572280993,75197176
1572280996,75201448
1572280999,75201448
1572281002,75201448
1572281005,75201448
1572281008,75201448
1572281011,75206976
1572281014,75269776
1572281017,75272208
1572281020,75272208
1572281023,75272208
1572281026,75272208
1572281029,75272208
1572281032,75272208
1572281035,75324648
1572281038,75339088
1572281041,75339088
1572281044,75343232
1572281047,75345080
1572281050,75346304
1572281053,75351632
1572281056,75356232
1572281059,75356232
1572281062,75373648
1572281065,75380080
1572281068,75671456
1572281071,75681616
1572281074,75697496
1572281077,75697496
1572281080,75697496
1572281083,75697496
1572281086,75697496
1572281089,75697496
1572281092,75697496
1572281095,75700496
1572281098,75700496
1572281101,75700496
1572281104,75701032
1572281107,75701408
1572281110,75701408
1572281113,75701408
1572281116,75703272
1572281119,75703272
1572281122,75703272
1572281125,75705192
1572281128,75705912
1572281131,75705912
1572281134,75713928
1572281137,75713928
1572281140,75713928
1572281143,75713928
1572281146,75713928
1572281149,75713928
1572281152,75713928
1572281155,75715016
1572281158,75716272
1572281161,75718000
1572281164,75721064
1572281167,75721064
1572281170,75743528
1572281173,75745960
1572281176,75749704
1572281179,75754576
1572281182,75754576
1572281185,75763376
1572281188,75764440
1572281191,75764816
1572281194,75775368
1572281197,75775368
1572281200,75775368
1572281203,75775368
1572281206,75775368
1572281209,75775368
1572281212,75775368
1572281215,75791144
1572281218,75791144
1572281221,75791144
1572281224,75791144
1572281227,75791144
1572281230,75791576
1572281233,75818560
1572281236,75832160
1572281239,75833672
1572281242,75834568
1572281245,75834568
1572281248,75835120
1572281251,75835120
1572281254,75850288
1572281257,75850288
1572281260,75850288
1572281263,75850288
1572281266,75850576
1572281269,75850576
1572281272,75850576
1572281275,75863664
1572281278,75863664
1572281281,75863664
1572281284,75863664
1572281287,75863664
1572281290,75863664
1572281293,75866296
1572281296,75867952
1572281299,75867952
1572281302,75867952
1572281305,75883448
1572281308,75884624
1572281311,75884624
1572281314,75884624
1572281317,75884624
1572281320,75884624
1572281323,75884624
1572281326,75884624
1572281329,75884624
1572281332,75884624
1572281335,75884624
1572281338,75884624
1572281341,75884624
1572281344,75884624
1572281347,75884624
1572281350,75884624
1572281353,75886416
1572281356,75888272
1572281359,75888272
1572281362,75888272
t,value
1572281381,89641648
1572281384,105144816
1572281387,112093248
1572281390,112106504
1572281393,112118016
1572281396,112129080
1572281399,112132032
1572281402,112138176
1572281405,112190760
1572281408,112243168
1572281411,112245280
1572281414,112249040
1572281417,112254352
1572281420,112254352
1572281423,112259944
1572281426,112310296
1572281429,112311128
1572281432,112312360
1572281435,112315544
1572281438,112319328
1572281441,112421376
1572281444,112437736
1572281447,112501128
1572281450,112508536
1572281453,112511584
1572281456,112536656
1572281459,112549224
1572281462,112559728
1572281465,112575136
1572281468,112589584
1572281471,112589584
1572281474,112589584
1572281477,112591168
1572281480,112592032
1572281483,112599760
1572281486,112616968
