t,value
1572280468,28
1572280471,44
1572280475,58
1572280477,60
1572280480,58
1572280483,56
1572280486,56
1572280489,54
1572280492,54
1572280495,54
1572280498,54
1572280501,54
1572280504,53
1572280507,53
1572280510,53
1572280513,57
1572280516,56
1572280519,55
1572280522,55
1572280525,54
1572280528,54
1572280531,54
1572280534,53
1572280537,53
1572280540,53
1572280543,52
1572280546,52
1572280549,52
1572280552,54
1572280555,54
1572280558,54
1572280561,53
1572280564,52
1572280567,54
1572280570,54
1572280573,56
1572280576,55
1572280579,54
1572280582,54
1572280585,53
1572280588,53
1572280591,52
1572280594,55
1572280597,54
1572280600,53
1572280603,53
1572280606,52
1572280609,52
1572280612,52
1572280615,52
1572280618,53
1572280621,53
1572280624,52
1572280627,53
1572280630,53
1572280633,53
1572280636,53
1572280639,52
1572280642,52
1572280645,51
1572280648,53
1572280651,53
1572280654,51
1572280657,51
1572280660,51
1572280663,50
1572280666,50
1572280669,52
1572280672,52
1572280675,51
1572280678,51
1572280681,50
1572280684,50
1572280687,52
1572280690,52
1572280693,51
1572280696,51
1572280699,51
1572280702,50
1572280705,50
1572280708,50
1572280711,50
1572280714,54
1572280717,53
1572280720,52
1572280723,52
1572280726,51
1572280729,51
1572280732,51
1572280735,51
1572280738,51
1572280741,51
1572280744,50
1572280747,50
1572280750,50
1572280753,53
1572280756,53
1572280759,52
1572280762,52
1572280765,51
1572280768,51
1572280771,51
1572280774,53
1572280777,52
1572280780,51
1572280783,51
1572280786,50
1572280789,50
1572280792,50
1572280795,50
1572280798,50
1572280801,50
1572280804,49
1572280807,49
1572280810,49
1572280813,52
1572280816,52
1572280819,51
1572280822,51
1572280825,50
1572280828,50
1572280831,50
1572280834,52
1572280837,52
1572280840,51
1572280843,51
1572280846,50
1572280849,50
1572280852,49
1572280855,53
1572280858,52
1572280861,51
1572280864,51
1572280867,50
1572280870,50
1572280873,50
1572280876,50
1572280879,50
1572280882,49
1572280885,49
1572280888,49
1572280891,49
1572280894,50
1572280897,50
1572280900,50
1572280903,49
1572280906,49
1572280909,49
1572280912,49
1572280915,52
1572280918,51
1572280921,51
1572280924,50
1572280927,50
1572280930,50
1572280933,50
1572280936,50
1572280939,50
1572280942,49
1572280945,49
1572280948,49
1572280951,49
1572280954,51
1572280957,51
1572280960,50
1572280963,50
1572280966,50
1572280969,49
